speed;rate;vol;wear;rough;cost;victories;defeats;draws
54.94;72.47;5000;32.04;0.6;6.61;732;267;0
51.35;50.02;5000;33.08;0.53;8.64;420;579;0
74.24;133.55;5000;32.6;0.66;4.73;593;406;0
75.6;141.15;5000;33.01;0.66;4.63;442;557;0
68.79;50;5000.04;34.73;0.51;9.52;176;823;0
56.56;50;5000;33.41;0.53;8.85;360;639;0
70.35;50;5000.01;34.92;0.51;9.61;149;850;0
53.75;67.39;5000.01;32.25;0.59;6.97;674;325;0
61.36;95.62;5000;31.53;0.64;5.5;968;31;0
61.13;96.32;5000.01;31.52;0.64;5.46;978;20;1
50.5;53.44;5000.01;32.88;0.55;8.21;497;502;0
50.51;50.53;5000;33.03;0.54;8.55;435;564;0
65.93;116.41;5000.01;31.75;0.65;4.91;853;146;0
61;50;5000.03;33.82;0.52;9.07;291;708;0
52.88;69.64;5000;32.14;0.6;6.77;698;301;0
51.32;65.23;5000;32.33;0.59;7.08;656;343;0
67.79;50;5000;34.61;0.51;9.45;189;810;0
49.37;65.68;5000;32.34;0.59;7;652;347;0
55.26;78.01;5000;31.84;0.62;6.25;818;180;1
50.33;53.33;5000.01;32.88;0.55;8.22;495;504;0
76.51;50;5000;35.64;0.5;10;52;946;1
62.57;50;5000;33.99;0.52;9.15;270;729;0
52.67;62.44;5000;32.47;0.58;7.37;627;372;0
54.34;76.92;5000.01;31.87;0.61;6.3;802;197;0
66.64;50;5000;34.47;0.51;9.39;206;793;0
66.23;50;5000;34.42;0.51;9.36;212;787;0
54.69;74.61;5000;31.95;0.61;6.46;770;228;1
63.96;50;5000;34.15;0.52;9.23;247;752;0
75.35;50.01;5000;35.51;0.5;9.93;71;928;0
54.36;78.26;5000.09;31.83;0.62;6.21;822;177;0
51.11;55.66;5000;32.78;0.56;7.99;529;470;0
58.69;50;5000;33.59;0.52;8.95;323;676;0
52.38;68.68;5000.01;32.18;0.6;6.83;686;313;0
70.26;122.87;5000;32.05;0.65;4.86;732;267;0
50.89;50.56;5000;33.04;0.54;8.55;434;565;0
77.51;50;5000;35.75;0.49;10.07;36;963;0
49.46;51.09;5000;32.97;0.54;8.45;459;540;0
71.02;50;5000;35;0.51;9.65;139;860;0
55.63;77.7;5000.01;31.85;0.61;6.28;813;186;0
67.76;123;5000;31.97;0.66;4.79;765;234;0
55.57;80.51;5000.02;31.76;0.62;6.1;850;149;0
66.84;121.15;5000.02;31.9;0.66;4.81;794;205;0
50.92;55.33;5000;32.8;0.55;8.02;525;474;0
51.23;52.88;5000;32.93;0.54;8.3;476;523;0
